Experiment,Model,RegionSeason,Bias
2xss,IPSL-CM6A-LR-INCA,ARC DJF,0.2282867431640625
2xss,UKESM1-0-LL,ARC DJF,-0.7400970458984375
2xss,NorESM2-LM,ARC DJF,-1.261138916015625
2xss,IPSL-CM6A-LR-INCA,ARC MAM,-0.7333984375
2xss,UKESM1-0-LL,ARC MAM,0.2767486572265625
2xss,NorESM2-LM,ARC MAM,-0.38372802734375
2xss,IPSL-CM6A-LR-INCA,ARC JJA,-0.655814528465271
2xss,UKESM1-0-LL,ARC JJA,-0.34090709686279297
2xss,NorESM2-LM,ARC JJA,-0.7449550628662109
2xss,IPSL-CM6A-LR-INCA,ARC SON,0.0599212646484375
2xss,UKESM1-0-LL,ARC SON,0.0147705078125
2xss,NorESM2-LM,ARC SON,-0.276153564453125
2xss,IPSL-CM6A-LR-INCA,ANT DJF,-0.6085033416748047
2xss,UKESM1-0-LL,ANT DJF,-0.1268138885498047
2xss,NorESM2-LM,ANT DJF,-0.8577098846435547
2xss,IPSL-CM6A-LR-INCA,ANT MAM,0.064453125
2xss,UKESM1-0-LL,ANT MAM,-0.2335968017578125
2xss,NorESM2-LM,ANT MAM,-0.204437255859375
2xss,IPSL-CM6A-LR-INCA,ANT JJA,-0.1054840087890625
2xss,UKESM1-0-LL,ANT JJA,0.18829345703125
2xss,NorESM2-LM,ANT JJA,-0.548065185546875
2xss,IPSL-CM6A-LR-INCA,ANT SON,-0.3606109619140625
2xss,UKESM1-0-LL,ANT SON,-0.3018951416015625
2xss,NorESM2-LM,ANT SON,-0.3322601318359375
2xdust,IPSL-CM6A-LR-INCA,ARC DJF,0.683563232421875
2xdust,UKESM1-0-LL,ARC DJF,-0.30731201171875
2xdust,NorESM2-LM,ARC DJF,-0.4138946533203125
2xdust,IPSL-CM6A-LR-INCA,ARC MAM,-0.7992324829101562
2xdust,UKESM1-0-LL,ARC MAM,0.41675567626953125
2xdust,NorESM2-LM,ARC MAM,0.7484130859375
2xdust,IPSL-CM6A-LR-INCA,ARC JJA,-0.5625017881393433
2xdust,UKESM1-0-LL,ARC JJA,-0.24974346160888672
2xdust,NorESM2-LM,ARC JJA,0.3249683380126953
2xdust,IPSL-CM6A-LR-INCA,ARC SON,0.554901123046875
2xdust,UKESM1-0-LL,ARC SON,0.19342041015625
2xdust,NorESM2-LM,ARC SON,0.238739013671875
2xdust,IPSL-CM6A-LR-INCA,ANT DJF,-0.34474754333496094
2xdust,UKESM1-0-LL,ANT DJF,-0.024723052978515625
2xdust,NorESM2-LM,ANT DJF,-0.2190265655517578
2xdust,IPSL-CM6A-LR-INCA,ANT MAM,0.0665740966796875
2xdust,UKESM1-0-LL,ANT MAM,-0.1493377685546875
2xdust,NorESM2-LM,ANT MAM,0.3567352294921875
2xdust,IPSL-CM6A-LR-INCA,ANT JJA,-0.2137908935546875
2xdust,UKESM1-0-LL,ANT JJA,0.112548828125
2xdust,NorESM2-LM,ANT JJA,0.7337799072265625
2xdust,IPSL-CM6A-LR-INCA,ANT SON,-0.2113800048828125
2xdust,UKESM1-0-LL,ANT SON,0.09842681884765625
2xdust,NorESM2-LM,ANT SON,0.5990676879882812
2xfire,IPSL-CM6A-LR-INCA,ARC DJF,
2xfire,UKESM1-0-LL,ARC DJF,0.2597808837890625
2xfire,NorESM2-LM,ARC DJF,
2xfire,IPSL-CM6A-LR-INCA,ARC MAM,
2xfire,UKESM1-0-LL,ARC MAM,1.5695648193359375
2xfire,NorESM2-LM,ARC MAM,
2xfire,IPSL-CM6A-LR-INCA,ARC JJA,
2xfire,UKESM1-0-LL,ARC JJA,1.5597820281982422
2xfire,NorESM2-LM,ARC JJA,
2xfire,IPSL-CM6A-LR-INCA,ARC SON,
2xfire,UKESM1-0-LL,ARC SON,0.235565185546875
2xfire,NorESM2-LM,ARC SON,
2xfire,IPSL-CM6A-LR-INCA,ANT DJF,
2xfire,UKESM1-0-LL,ANT DJF,0.39705657958984375
2xfire,NorESM2-LM,ANT DJF,
2xfire,IPSL-CM6A-LR-INCA,ANT MAM,
2xfire,UKESM1-0-LL,ANT MAM,-0.12615966796875
2xfire,NorESM2-LM,ANT MAM,
2xfire,IPSL-CM6A-LR-INCA,ANT JJA,
2xfire,UKESM1-0-LL,ANT JJA,-0.0097503662109375
2xfire,NorESM2-LM,ANT JJA,
2xfire,IPSL-CM6A-LR-INCA,ANT SON,
2xfire,UKESM1-0-LL,ANT SON,0.36409759521484375
2xfire,NorESM2-LM,ANT SON,
2xDMS,IPSL-CM6A-LR-INCA,ARC DJF,
2xDMS,UKESM1-0-LL,ARC DJF,-0.139984130859375
2xDMS,NorESM2-LM,ARC DJF,-0.2319183349609375
2xDMS,IPSL-CM6A-LR-INCA,ARC MAM,
2xDMS,UKESM1-0-LL,ARC MAM,-0.11019134521484375
2xDMS,NorESM2-LM,ARC MAM,-0.7201690673828125
2xDMS,IPSL-CM6A-LR-INCA,ARC JJA,
2xDMS,UKESM1-0-LL,ARC JJA,-1.303431510925293
2xDMS,NorESM2-LM,ARC JJA,-3.793943405151367
2xDMS,IPSL-CM6A-LR-INCA,ARC SON,
2xDMS,UKESM1-0-LL,ARC SON,-0.007293701171875
2xDMS,NorESM2-LM,ARC SON,0.3231048583984375
2xDMS,IPSL-CM6A-LR-INCA,ANT DJF,
2xDMS,UKESM1-0-LL,ANT DJF,-0.5315074920654297
2xDMS,NorESM2-LM,ANT DJF,-1.9829273223876953
2xDMS,IPSL-CM6A-LR-INCA,ANT MAM,
2xDMS,UKESM1-0-LL,ANT MAM,0.0663299560546875
2xDMS,NorESM2-LM,ANT MAM,-0.46566009521484375
2xDMS,IPSL-CM6A-LR-INCA,ANT JJA,
2xDMS,UKESM1-0-LL,ANT JJA,-0.189605712890625
2xDMS,NorESM2-LM,ANT JJA,-0.109710693359375
2xDMS,IPSL-CM6A-LR-INCA,ANT SON,
2xDMS,UKESM1-0-LL,ANT SON,-0.837371826171875
2xDMS,NorESM2-LM,ANT SON,-0.04233551025390625
